method,method_class,p,rep,n_full,n_sample,rho,rho_tilde,time_fit_full_s,time_fit_sample_s,time_score_s,time_total_s,dataset
BoxPlot,I,0.01,8,286048,2860,0.9685314685314685,0.9771119147875924,0.5323225560132414,0.0029878129716962576,0.5323225560132414,0.5372353399870917,covertype
BoxPlot,I,0.01,9,286048,2860,0.9755244755244755,0.9844733468795533,0.28572033206000924,0.01761008705943823,0.28572033206000924,0.30666935502085835,covertype
BoxPlot,I,0.05,0,286048,14302,0.9779951100244498,0.986423863090345,0.4174160090042278,0.02059804298914969,0.4174160090042278,0.4457628760719672,covertype
BoxPlot,I,0.05,1,286048,14302,0.9856693463823838,0.9899589704919164,0.3529763480182737,0.015031691989861429,0.3529763480182737,0.37094311497639865,covertype
BoxPlot,I,0.05,2,286048,14302,0.9846261355695318,0.9932391753754173,0.4762698080157861,0.019367823959328234,0.4762698080157861,0.5014368219999596,covertype
BoxPlot,I,0.05,3,286048,14302,0.9675165909884736,0.988705869965771,0.35042260808404535,0.014415142009966075,0.35042260808404535,0.37142424494959414,covertype
BoxPlot,I,0.05,4,286048,14302,0.986013986013986,0.9931626264513739,0.2770492030540481,0.038555964012630284,0.2770492030540481,0.3326504430733621,covertype
BoxPlot,I,0.05,5,286048,14302,0.9835721775602936,0.9879826657260747,0.49996674491558224,0.023419955978170037,0.49996674491558224,0.5282743880525231,covertype
BoxPlot,I,0.05,6,286048,14302,0.9874564459930314,0.9965402251089907,0.2678376520052552,0.016749461996369064,0.2678376520052552,0.2894541339483112,covertype
BoxPlot,I,0.05,7,286048,14302,0.9706293706293706,0.990126902675309,0.4370096849743277,0.016365278977900743,0.4370096849743277,0.47726097505073994,covertype
BoxPlot,I,0.05,8,286048,14302,0.9850017439832578,0.9897863196712888,0.41488467901945114,0.013997473986819386,0.41488467901945114,0.431753663928248,covertype
BoxPlot,I,0.05,9,286048,14302,0.9797909407665505,0.9861538220550718,0.3699221039423719,0.0333519009873271,0.3699221039423719,0.4098358149640262,covertype
BoxPlot,I,0.1,0,286048,28604,0.999650471862985,0.9992141676274608,0.39546544605400413,0.03961258800700307,0.39546544605400413,0.4426142768934369,covertype
BoxPlot,I,0.1,1,286048,28604,0.9863826815642458,0.9954202275754809,0.2568890529219061,0.0396073660813272,0.2568890529219061,0.3077898679766804,covertype
BoxPlot,I,0.1,2,286048,28604,0.9973789970295299,0.9981224435533799,0.5308158489642665,0.040946551016531885,0.5308158489642665,0.5858305389992893,covertype
BoxPlot,I,0.1,3,286048,28604,0.9844432791470022,0.9949844509794249,0.2670817830367014,0.026140058995224535,0.2670817830367014,0.2982266570907086,covertype
BoxPlot,I,0.1,4,286048,28604,0.9982517482517482,0.9976954496213472,0.5198115010280162,0.05325177905615419,0.5198115010280162,0.5833181130001321,covertype
BoxPlot,I,0.1,5,286048,28604,0.9895141558895492,0.9911486337640426,0.296384708955884,0.027032174984924495,0.296384708955884,0.32841233699582517,covertype
BoxPlot,I,0.1,6,286048,28604,0.9958056623558197,0.9968361299853805,0.33278702199459076,0.06274702993687242,0.33278702199459076,0.49676697503309697,covertype
BoxPlot,I,0.1,7,286048,28604,0.9743500261734427,0.9912060963949092,0.40942264802288264,0.02983409201260656,0.40942264802288264,0.44533768703695387,covertype
BoxPlot,I,0.1,8,286048,28604,0.9959811287786127,0.9966849836993984,0.33348731498699635,0.05364379100501537,0.33348731498699635,0.4043187580537051,covertype
BoxPlot,I,0.1,9,286048,28604,0.9896871176367767,0.9961002066612233,0.5380334439687431,0.03141571499872953,0.5380334439687431,0.5752606329042464,covertype
MAD,I,0.01,0,286048,2860,0.975609756097561,0.9984648562541311,0.11071047489531338,0.002794136991724372,0.11071047489531338,0.11530619999393821,covertype
MAD,I,0.01,1,286048,2860,0.9319371727748691,0.9952851133476247,0.13857955497223884,0.01730502606369555,0.13857955497223884,0.17188189702574164,covertype
MAD,I,0.01,2,286048,2860,0.958041958041958,0.9952049910403206,0.263585300068371,0.003644151031039655,0.263585300068371,0.2712624779669568,covertype
MAD,I,0.01,3,286048,2860,0.958041958041958,0.9912530420699678,0.234429731965065,0.006896879989653826,0.234429731965065,0.25142215099185705,covertype
